TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,Pressure_switch,Oil_level,Caudal_impulses,TP2_mean_30m,TP2_std_30m,TP2_mean_2h,TP2_std_2h,Motor_current_mean_30m,Motor_current_std_30m,Motor_current_mean_2h,Motor_current_std_2h,DV_pressure_mean_30m,DV_pressure_std_30m,DV_pressure_mean_2h,DV_pressure_std_2h,Oil_temperature_mean_30m,Oil_temperature_mean_2h,TP3_mean_30m,TP3_mean_2h,Reservoirs_mean_30m,Reservoirs_mean_2h,TP2_roc,Motor_current_roc,DV_pressure_roc,LPS_sum_30m,LPS_sum_2h,COMP_mean_30m,COMP_mean_2h,LPS_time_since,LPS
-0.0120000000000004,8.764,8.752,-0.0199999999999995,8.766,63.99999999999999,0.0424999999999995,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.381822222222223,3.4113418339238173,1.0599694444444445,3.005819196985609,2.633652777777778,2.2153566424719027,2.037121527777778,2.2451283926461247,-0.021111111111109956,0.0014372882309858228,-0.02117499999999893,0.0013435831018527046,64.63333333333334,63.36125,9.217666666666666,9.053408333333334,9.217677777777778,9.053708333333333,0.0,0.0,0.0,0.0,0.0,0.85,0.8805555555555555,3885,0.0
-0.0120000000000004,9.53,9.518,-0.0180000000000006,9.53,67.97500000000001,3.7125,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.570533333333334,3.5701644335628564,1.2718444444444448,3.2465365233109744,2.7890277777777777,2.1956676551195677,2.35396875,2.2340008214949645,-0.01877777777777758,0.0014398771645711796,-0.01386388888888843,0.1592053225127876,67.88138888888889,66.06097222222222,9.119722222222224,9.014783333333334,9.1204,9.015269444444446,0.0,0.057499999999998774,0.0,0.0,0.0,0.8277777777777777,0.8583333333333333,51426,0.0
-0.0079999999999991,9.65,9.634,-0.0159999999999982,9.648,70.5,3.83,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.3396111111111124,3.3174483301680433,1.0324916666666677,2.972909634808356,2.296375,2.3340563881608665,1.9473020833333334,2.2623562481465247,-0.0155333333333318,0.0011977632029065816,-0.006080555555554275,0.24243378668975427,67.00861111111112,66.75149305555556,9.086688888888888,9.05565,9.086677777777778,9.055983333333334,0.0,-0.047500000000000764,0.0,0.0,0.0,0.85,0.8847222222222222,20491,0.0
-0.0120000000000004,8.57,8.558,-0.0199999999999995,8.572,59.89999999999999,0.0449999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6134333333333336,2.363493657547727,0.7966222222222222,2.645902263678701,1.5986249999999997,2.0708615639315715,1.8490243055555555,2.1495094034905238,-0.021611111111109697,0.0007937526498963091,-0.0191527777777765,0.06147794016683176,62.821666666666665,63.0798263888889,8.964777777777778,8.994625000000001,8.964855555555555,8.994244444444444,0.0019999999999989002,0.0,0.0,0.0,0.0,0.9333333333333333,0.9111111111111111,9206,0.0
10.174,9.788,-0.0120000000000004,-0.0180000000000006,9.784,66.725,6.167499999999999,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.231544444444445,3.2023304351497,0.9685500000000001,2.873266724835918,1.6981527777777776,2.2756281956042197,1.7367395833333332,2.188177318918223,-0.019588888888888586,0.0008893464593368378,-0.019355555555555418,0.0009703373649455534,63.21625000000001,64.02222222222223,8.85898888888889,8.96635,8.859455555555556,8.966694444444444,0.1639999999999997,0.15249999999999986,0.001999999999998902,0.0,0.0,0.8611111111111112,0.8930555555555556,32715,0.0
-0.0079999999999991,9.562,9.55,-0.0139999999999993,9.564,68.45000000000002,3.705,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.42208888888889,3.3855446295946816,1.2745694444444455,3.23542113015807,2.3357083333333337,2.2784090774555525,2.415503472222222,2.2039567161974984,-0.015188888888887487,0.0009847375660844743,-0.014555555555554234,0.01624918004818867,67.00180555555555,67.80277777777778,9.172544444444444,9.156397222222221,9.17401111111111,9.157708333333332,0.0,-0.02499999999999991,0.0,0.0,0.0,0.8388888888888889,0.8569444444444444,8394,0.0
10.124,9.748,-0.009999999999998,-0.0219999999999984,9.748,64.475,6.1975,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.2114555555555557,3.1758355629894286,0.8830944444444445,2.7545035899838695,2.125638888888889,2.2677432011610446,2.045513888888889,2.212650228230952,-0.0211888888888877,0.001007174667637463,-0.01973611111111001,0.032332458083899215,63.62624999999999,63.93590277777778,8.917122222222222,8.992316666666666,8.9176,8.991905555555554,0.16800000000000104,0.15749999999999886,-0.0019999999999988985,0.0,0.0,0.8666666666666667,0.9013888888888889,8425,0.0
-0.0120000000000004,9.554,9.544,-0.0159999999999982,9.554,68.52499999999999,3.74,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3993000000000013,3.3859637214389045,1.0178277777777787,2.950150896555099,2.3871388888888894,2.2564775956831573,1.9413090277777778,2.1895425246619262,-0.015599999999998553,0.0010005584124627225,-0.014127777777776518,0.04428376452283016,67.32277777777777,66.9865625,9.148622222222222,9.015525,9.1502,9.017205555555556,-0.002000000000002399,-0.009999999999999787,-0.0019999999999989002,0.0,0.0,0.8444444444444444,0.8875,3427,0.0
-0.0199999999999995,10.002,9.998,-0.0199999999999995,10.0,70.52499999999999,3.764999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3158777777777786,3.2871121499957376,1.0142361111111118,2.942684387517688,1.839597222222222,2.310541170434193,1.8541874999999999,2.2003417082542733,-0.020166666666666035,0.0009658989142045507,-0.019599999999999725,0.0010313581126766417,63.18236111111111,64.7465625,8.921922222222223,9.002633333333334,8.921144444444444,9.002225,0.0019999999999988985,-0.030000000000001137,0.0,0.0,0.0,0.8555555555555555,0.8847222222222222,22125,0.0
-0.0120000000000004,8.872,8.858,-0.0159999999999982,8.876,63.94999999999999,0.0424999999999995,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0959111111111124,3.0945074991734582,1.0702416666666672,3.011898636923345,2.412402777777778,2.1499354343282047,2.0913819444444446,2.19614558355118,-0.015766666666665166,0.0010415930199398332,0.0010111111111122367,0.2579372111256916,68.56666666666666,66.83125,9.327677777777778,9.080844444444445,9.328233333333333,9.081877777777779,0.0,0.0024999999999995026,0.0,0.0,0.0,0.8833333333333333,0.8819444444444444,3076,0.0
